登録番号,登録年月日,事業者名,事業の種類,事業の種類の細目1,事業の種類の細目2,事業所名,所在地(都道府県),所在地(市区町村),登録対象業務の従業員数
163656,20180330,社団医療法人池田記念会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設カルモナ,岩手県,滝沢市,51
163716,20180330,医療法人財団弘慈会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設グレイスガーデン,宮城県,栗原市,83
164074,20180330,社会福祉法人パトリア,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームアミーキ,群馬県,伊勢崎市,38
164098,20180330,医療法人光陽会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設とべ和合苑,愛媛県,伊予郡砥部町,69
164320,20180330,社会福祉法人日南福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム介護福祉センターあかねの郷,鳥取県,日野郡日南町,65
164522,20180330,医療法人社団白山会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設千代野苑,石川県,白山市,68
164524,20180330,医療法人社団白山会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設なごみ苑,石川県,白山市,50
164570,20180330,医療法人高仁会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,老人保健施設うわ,愛媛県,西予市,60
164582,20180330,医療法人財団大西会介護老人保健施設ひまわり,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,医療法人財団大西会介護老人保健施設ひまわり,長野県,千曲市,60
164870,20190523,社会福祉法人　同朋会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム同朋園,福岡県,太宰府市,18
164872,20190523,社会福祉法人　同朋会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,ユニット型特別養護老人ホーム同朋園,福岡県,太宰府市,52
164884,20180330,社会福祉法人久喜同仁会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,鶴寿荘介護老人福祉施設,埼玉県,久喜市,104
164990,20180330,医療法人　補天会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,おおにし光生園,愛媛県,今治市,62
165140,20180330,ＪＡ北海道厚生連特別養護老人ホーム摩周,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,ＪＡ北海道厚生連特別養護老人ホーム摩周,北海道,川上郡弟子屈町,72
165142,20180330,医療法人社団寿山会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護療養型老人保健施設福光あおい,富山県,南砺市,40
165344,20180330,愛知県厚生事業団,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,愛厚ホーム一宮苑,愛知県,一宮市,42
165376,20180330,社会福祉法人　風早偕楽園,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム菊仙荘,愛媛県,今治市,38
166102,20180330,医療法人　社団　仁明会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設　第二恵仁ホーム,宮城県,石巻市,112
166250,20180330,社会福祉法人戸川会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム福寿荘きらきら,山梨県,南巨摩郡富士川町,22
166254,20180330,社会福祉法人戸川会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム福寿荘,山梨県,南巨摩郡富士川町,26
166288,20180330,社会福祉法人敬仁会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム第２渓山荘ぽっぽ,福井県,敦賀市,53
166320,20190523,特定医療法人社団三光会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設カトレア,福岡県,大野城市,62
166634,20180330,社会福祉法人　日本傷痍者更生会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設　更生会にじの郷,福岡県,遠賀郡岡垣町,55
167102,20180330,社会福祉法人寿陽会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム 北総長寿苑,千葉県,山武市,43
167104,20180330,社会福祉法人寿陽会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームコート・エミナース,千葉県,八街市,45
167106,20180330,社会福祉法人寿陽会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム空（そら）,千葉県,八街市,42
167124,20180330,社会福祉法人八起会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人福祉施設もみじ,滋賀県,東近江市,51
167458,20180330,社会福祉法人　慶愛会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム大山やすらぎの里,鳥取県,西伯郡大山町,41
167464,20180330,社会福祉法人　慶明会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設サンフローラみやざき,宮崎県,東諸県郡国富町,103
167526,20180330,社会福祉法人　はぴねす福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム　若水館,愛媛県,新居浜市,43
167708,20180330,社会福祉法人　富水会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム第２開寿園,静岡県,藤枝市,41
167714,20180330,医療生協さいたま生活協同組合,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,老人保健施設みぬま,埼玉県,川口市,70
167760,20180330,特別養護老人ホーム事務組合,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームみどり苑,愛媛県,喜多郡内子町,49
167768,20180330,社会福祉法人英伸会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム七福神,茨城県,守谷市,32
167770,20180330,社会福祉法人かすかわ会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム元気の郷,群馬県,前橋市,60
167794,20180330,特別養護老人ホームなごみの里,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームなごみの里,北海道,伊達市,33
167810,20180330,社会福祉法人泚山会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームペペ・メメール,新潟県,柏崎市,56
167822,20180330,医療法人泰玄会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,泰玄会老人保健施設,愛知県,一宮市,46
167834,20180330,医療生協さいたま生活協同組合,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,老人保健施設さんとめ,埼玉県,所沢市,95
167972,20180330,社会福祉法人敬和福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム島津乃荘,宮崎県,都城市,63
168006,20180330,社会福祉法人喜栄会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム田富荘,山梨県,中央市,29
168014,20180330,社会福祉法人正勇会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームソレイユ芦屋,福岡県,遠賀郡芦屋町,46
168148,20180330,社会福祉法人にしあがつま福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,からまつ荘,群馬県,吾妻郡長野原町,40
168264,20180330,社会福祉法人池上長寿園　,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,社会福祉法人池上長寿園　特別養護老人ホーム池上,東京都,大田区,58
168382,20180330,社会福祉法人もくせい会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,社会福祉法人もくせい会,群馬県,邑楽郡千代田町,45
169292,20180330,社会福祉法人グリーンアルム福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,グリーンパルベル,長野県,須坂市,31
169300,20180330,社会福祉法人グリーンアルム福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,ウィングラス,長野県,須坂市,61
169458,20180330,社会福祉法人桃蹊会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームサニーヒル,群馬県,みどり市,26
169482,20180330,医療法人社団洞口会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,老人保健施設ライフケアセンター名取,宮城県,名取市,78
170026,20180330,社会福祉法人南魚沼福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームゆのさと園,新潟県,南魚沼郡湯沢町,49
170230,20180330,社会福祉法人松実会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム麗峰苑,岩手県,八幡平市,46
170598,20180330,社会福祉法人栄和福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホ－ム田の浦荘,熊本県,葦北郡芦北町,26
170752,20180330,医療法人福寿会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,老人保健施設信愛苑,岡山県,真庭市,25
170754,20180330,医療法人福寿会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設わかば,岡山県,真庭市,25
170758,20180330,医療法人社団青藍会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設ハート,三重県,桑名市,60
170888,20180330,特定医療法人弘友会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特定医療法人弘友会老人保健施設フレンド,愛媛県,大洲市,76
170908,20180330,大仙美郷介護福祉組合,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム真森苑,秋田県,大仙市,45
170962,20180330,社会福祉法人創明会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム船橋梨香園,千葉県,船橋市,44
171206,20180330,社会福祉法人福田会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム豊明苑,愛知県,豊明市,60
171244,20180330,社会福祉法人篤豊会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,加賀中央慈妙院,石川県,加賀市,46
171340,20180330,特別養護老人ホーム　とかみ共生苑,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム　とかみ共生苑,山形県,山形市,80
172088,20180330,社会福祉法人　太陽福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム　海山園,京都府,京丹後市,30
172100,20180330,社会福祉法人愛知県厚生事業団,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,愛厚ホーム西尾苑,愛知県,西尾市,78
172154,20180330,株式会社アイ愛,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,アイ愛介護サービス,東京都,台東区,8
172156,20180330,社会福祉法人萌寿会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム萌寿園,北海道,留萌市,43
172418,20180330,社会福祉法人永楽会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム杜の風,宮城県,黒川郡富谷町,49
172486,20180330,株式会社愛誠会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,はなまるホーム西大泉,東京都,練馬区,16
172606,20180330,社会福祉法人島根県社会福祉事業団,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム眺峰園,島根県,大田市,80
172672,20180330,社会福祉法人健心会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,エメラルドハウス,福井県,敦賀市,15
172692,20180330,社会福祉法人福寿園,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム東海福寿園,愛知県,東海市,60
172718,20180330,社会福祉法人若竹会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームサンホームみやこ,岩手県,宮古市,56
173084,20180330,社会福祉法人大恵会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム今市ホーム,栃木県,日光市,33
173250,20190523,医療法人愛誠会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,ケアセンターやごろう苑,鹿児島県,曽於市,121
173282,20180330,社会福祉法人中東福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームうずらはし,新潟県,五泉市,44
173664,20180330,社会福祉法人わとなーる,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム蓬生園,青森県,東津軽郡蓬田村,34
173686,20180330,社会福祉法人　南海福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人福祉施設　四万十の郷,高知県,四万十市,70
173818,20180330,介護老人保健施設ライトハートいきいき荘,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設ライトハートいきいき荘,香川県,綾歌郡宇多津町,53
174166,20180330,グループホームすもも,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,グループホームすもも,鹿児島県,指宿市,11
174272,20180330,吉野広域行政組合,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,吉野三町村老人福祉施設,奈良県,吉野郡吉野町,45
174334,20180330,医療法人和光会恵愛荘,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,医療法人和光会恵愛荘,長崎県,諫早市,103
174786,20180330,特定医療法人フェニックス,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,老人保健施設サンバレーかかみ野,岐阜県,各務原市,112
174788,20180330,特定医療法人フェニックス,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,老人保健施設リハトピア・フェニックス,岐阜県,各務原市,12
174790,20180330,特定医療法人フェニックス,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,老人保健施設ハートピア・フェニックス,岐阜県,各務原市,15
174956,20180330,宇和島地区広域事務組合,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム柏寿園,愛媛県,南宇和郡愛南町,44
175434,20180330,社会福祉法人京都府社会福祉事業団,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,洛南寮,京都府,京田辺市,19
175540,20180330,医療法人社団小野病院,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設パステルヴィレッジ小野,福島県,喜多方市,62
175558,20180330,医療法人健明会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設青風苑,福岡県,直方市,40
175564,20180330,特別養護老人ホームエバーグリーン,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームエバーグリーン,岐阜県,多治見市,114
175586,20180330,医療法人　六和会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,老人保健施設　六和会センテナリアン,大分県,日田市,76
175710,20180330,社会福祉法人えちご府中会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人福祉施設和久楽,新潟県,上越市,53
175718,20180330,社会福祉法人土淵朗親会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームおでんせ本宮,岩手県,盛岡市,48
175736,20180330,社会福祉法人　白女林,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム白楽荘,福井県,坂井市,56
175756,20180330,社会福祉法人 天竜厚生会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム さやの家,静岡県,掛川市,85
175936,20180330,社会福祉法人島根県社会福祉事業団特別養護老人ホーム天神,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム天神,島根県,出雲市,107
176120,20180330,医療法人　陽山会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設のぞみ船小屋,福岡県,筑後市,52
176934,20180330,社会福祉法人　丹原福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム　ル・ソレイユ,愛媛県,西条市,45
177056,20180330,社会福祉法人熊本厚生会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設青海苑,熊本県,宇城市,80
177064,20180330,社会福祉法人　光道園,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,第三光が丘ハウス,福井県,丹生郡越前町,63
177116,20180330,有限会社しんせい,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,ふくべ友和苑,鳥取県,鳥取市,21
177152,20180330,社会福祉法人恩賜財団済生会支部滋賀県済生会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム淡海荘,滋賀県,栗東市,71
177228,20180330,介護老人保健施設シルバーケアまほろば,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設シルバーケアまほろば,奈良県,桜井市,48
177418,20180330,介護老人保健施設ゆうあい福智,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設ゆうあい福智,福岡県,直方市,100
177678,20180330,社会福祉法人神奈川県社会福祉事業団,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,湘南老人ホーム,神奈川県,秦野市,112
177694,20180330,社会福祉法人宮城厚生福祉会　介護老人福祉施設十符・風の音,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人福祉施設　十符・風の音,宮城県,宮城郡利府町,73
177700,20180330,社会福祉法人祐正福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設ヌーベルさんがわ,香川県,さぬき市,68
177702,20180330,社会福祉法人祐正福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,高齢者複合施設ヌーベル三木,香川県,木田郡三木町,37
177798,20180330,医療法人　陽成会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設ヒロセ,愛媛県,今治市,85
177824,20180330,由利本荘市特別養護老人ホーム東光苑,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,由利本荘市特別養護老人ホーム東光苑,秋田県,由利本荘市,36
177846,20180330,介護老人保健施設榮寿苑,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設榮寿苑,秋田県,南秋田郡八郎潟町,63
177874,20180330,社会福祉法人帯広太陽福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム太陽園,北海道,帯広市,111
178002,20180330,社会福祉法人安曇野福祉協会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人福祉施設豊岳荘,長野県,安曇野市,57
178008,20180330,社会福祉法人安曇野福祉協会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人福祉施設常念荘,長野県,安曇野市,40
178070,20190523,医療法人社団豊仁会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,サンライフ豊寿苑,青森県,八戸市,74
178078,20180330,社会福祉法人福寿園,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,ケアハウスパシフィック,愛知県,田原市,45
178146,20180330,社会医療法人大雄会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,老人保健施設アウン,愛知県,一宮市,101
178176,20180330,群馬県済生会老人保健施設あずま荘,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,群馬県済生会老人保健施設あずま荘,群馬県,前橋市,55
178186,20180330,森町愛光園,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,森町愛光園,静岡県,周智郡森町,121
178590,20180330,社会福祉法人敬天会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人福祉施設アットホームしろとり,岐阜県,郡上市,50
178664,20180330,社会福祉法人普代福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームうねとり荘,岩手県,下閉伊郡普代村,68
178928,20180330,社会福祉法人五島和光会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム緑乃園,長崎県,五島市,39
179034,20180330,有限会社坂元,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,グループホーム城山苑,宮崎県,都城市,17
179314,20180330,社会福祉法人　東和福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,高齢者福祉施設三愛,千葉県,山武郡横芝光町,67
179346,20180330,社会福祉法人北秋田市社会福祉協議会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設ケアタウンたかのす,秋田県,北秋田市,66
179534,20180330,社会福祉法人　東和福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,高齢者福祉施設三愛,千葉県,市川市,67
179778,20180330,社会福祉法人陽光会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームサンライフ問屋町,群馬県,前橋市,60
179788,20180330,社会福祉法人友伸福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム長寿荘,山梨県,北杜市,21
179950,20180330,社会医療法人将道会　介護老人保健施設サニーホーム,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,社会医療法人将道会　介護老人保健施設サニーホーム,宮城県,岩沼市,73
180170,20180330,社会福祉法人小杉福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホームエスポワールこすぎ,富山県,射水市,77
180208,20180330,社会福祉法人松寿苑,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム松寿苑,京都府,綾部市,28
180728,20180330,社会福祉法人　西予総合福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,地域密着型特別養護老人ホーム松葉寮,愛媛県,西予市,48
180764,20180330,社会福祉法人五常会　特別養護老人ホームみずなみ瀬戸の里,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,"社会福祉法人五常会
特別養護老人ホームみずなみ瀬戸の里",岐阜県,瑞浪市,66
180798,20180330,社会福祉法人　善心会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム　ラック,岐阜県,安八郡神戸町,48
180900,20180330,社会福祉法人いなかわ福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,指定訪問介護事業所,秋田県,湯沢市,87
181448,20180330,社会福祉法人　かんら会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム・シルク,群馬県,甘楽郡甘楽町,35
181454,20180330,社会福祉法人　かんら会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム　シルク・おばた,群馬県,甘楽郡甘楽町,21
182976,20180330,医療法人社団松誠会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設あしろ苑,岩手県,八幡平市,49
183030,20180330,医療法人社団　葵会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設　葵の園・沼南,千葉県,柏市,95
183244,20180330,社会福祉法人見附福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,大平園,新潟県,見附市,61
183246,20180330,社会福祉法人見附福祉会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,フローラ,新潟県,見附市,39
183314,20180330,社会福祉法人清泉会　,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム　アネシス,千葉県,柏市,26
183318,20180330,社会福祉法人　典人会　地域密着ケアホーム「平」,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,社会福祉法人　典人会　地域密着ケアホーム「平」,岩手県,大船渡市,18
183320,20180330,社会福祉法人いつつ星会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム白梅荘,岩手県,二戸市,39
183580,20180330,社会福祉法人泚山会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム柏柳の里,新潟県,柏崎市,78
183584,20180330,医療法人啓信会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設萌木の村,京都府,城陽市,65
183588,20180330,医療法人啓信会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設ひしの里,京都府,久世郡久御山町,72
183604,20180330,社会福祉法人善友会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム小長井希望園,長崎県,諫早市,48
183738,20180330,医療法人春陽会,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,介護老人保健施設うらら苑,福島県,いわき市,60
183754,20180330,社会福祉法人共成舎,社会保険・社会福祉・介護事業,介護保険施設,事業所、施設の指定申請、届出先：都道府県,特別養護老人ホーム鐘ヶ丘ホーム,熊本県,球磨郡あさぎり町,28
